こむぎ ［即席めん類］ 中華スタイル即席カップめん 油揚げ 焼きそば ,436,8.4,18.9,58.1,2.4,1500,190,190,28,1.1,0.4,14,0.56,0.72,0.04,0,13,1,3.8
こむぎ ［即席めん類］ 中華スタイル即席カップめん 非油揚げ ,342,9.0,6.4,62.2,2.9,2700,270,95,29,1.0,0.5,8,0.22,0.24,0.07,0.1,23,1,6.9
こむぎ ［即席めん類］ 和風スタイル即席カップめん 油揚げ ,451,10.9,20.1,56.6,1.9,2700,180,180,32,1.1,0.6,7,0.24,0.30,0.05,0.2,15,1,6.9
こむぎ ［マカロニ・スパゲッティ類］ マカロニ・スパゲッティ 乾 ,379,12.2,1.9,73.9,2.7,1,200,18,55,1.4,1.5,0,0.19,0.06,0.11,0,13,0,0
こむぎ ［マカロニ・スパゲッティ類］ マカロニ・スパゲッティ ゆで ,165,5.4,0.9,32.0,1.7,460,14,8,20,0.7,0.7,0,0.06,0.03,0.02,0,5,0,1.2
こむぎ ［マカロニ・スパゲッティ類］ 生パスタ 生 ,247,7.8,1.9,46.9,1.5,470,76,12,18,0.5,0.5,0,0.05,0.04,0.05,0,9,0,1.2
こむぎ ［ふ類］ 生ふ ,163,12.7,0.8,26.2,0.5,7,30,13,18,1.3,1.8,0,0.08,0.03,0.02,0,7,0,0
こむぎ ［ふ類］ 焼きふ 釜焼きふ ,385,28.5,2.7,56.9,3.7,6,120,33,43,3.3,2.2,0,0.16,0.07,0.08,0,16,0,0
こむぎ ［ふ類］ 焼きふ 板ふ ,379,25.6,3.3,57.3,3.8,190,220,31,90,4.9,2.9,0,0.20,0.08,0.16,0,22,0,0.5
こむぎ ［ふ類］ 焼きふ 車ふ ,387,30.2,3.4,54.2,2.6,110,130,25,53,4.2,2.7,0,0.12,0.07,0.07,0,11,0,0.3
こむぎ ［その他］ 小麦はいが ,426,32.0,11.6,48.3,14.3,3,1100,42,310,9.4,15.9,2,1.82,0.71,1.24,0,390,0,0
こむぎ ［その他］ 小麦たんぱく 粉末状 ,437,72.0,9.7,10.6,2.4,60,90,75,75,6.6,5.0,0,0.03,0.12,0.10,0,34,0,0.2
こむぎ ［その他］ 小麦たんぱく 粒状 ,111,20.0,2.0,1.8,0.4,36,3,14,16,1.8,1.4,0,0.02,0.01,0.01,0,5,0,0.1
こむぎ ［その他］ 小麦たんぱく ペースト状 ,159,25.0,4.1,3.9,0.5,230,39,30,54,3.0,2.4,0,0.20,0.03,0.04,0,17,0,0.6
こむぎ ［その他］ ぎょうざの皮 ,291,9.3,1.4,57.0,2.2,2,64,16,18,0.8,0.6,0,0.08,0.04,0.06,0,12,0,0
こむぎ ［その他］ しゅうまいの皮 ,295,8.3,1.4,58.9,2.2,2,72,16,17,0.6,0.5,0,0.09,0.04,0.05,0,9,0,0
こむぎ ［その他］ ピザ生地 ,268,9.1,3.0,51.1,2.3,510,91,13,22,0.8,0.6,0,0.15,0.11,0.05,0,20,0,1.3
こむぎ ［その他］ ちくわぶ ,171,7.1,1.2,31.1,1.5,1,3,8,6,0.5,0.2,0,0.01,0.02,0.01,0,4,0,0
こむぎ ［その他］ パン粉 生 ,280,11.0,5.1,47.6,3.0,350,110,25,29,1.1,0.7,0,0.11,0.02,0.05,0,40,0,0.9
こむぎ ［その他］ パン粉 半生 ,319,12.5,5.8,54.3,3.5,400,130,28,34,1.2,0.8,0,0.13,0.03,0.06,0,46,0,1.0
こむぎ ［その他］ パン粉 乾燥 ,373,14.6,6.8,63.4,4.0,460,150,33,39,1.4,0.9,0,0.15,0.03,0.07,0,54,0,1.2
こむぎ ［その他］ 冷めん 生 ,252,3.9,0.7,57.6,1.1,530,59,11,12,0.3,0.2,0,0.04,0,0.02,0,4,0,1.3
こめ ［水稲穀粒］ 玄米 ,353,6.8,2.7,74.3,3.0,1,230,9,110,2.1,1.8,0,0.41,0.04,0.45,0,27,0,0
こめ ［水稲穀粒］ 半つき米 ,356,6.5,1.8,75.9,1.4,1,150,7,64,1.5,1.6,0,0.30,0.03,0.28,0,18,0,0
こめ ［水稲穀粒］ 七分つき米 ,359,6.3,1.5,76.6,0.9,1,120,6,45,1.3,1.5,0,0.24,0.03,0.20,0,15,0,0
こめ ［水稲穀粒］ 精白米 うるち米 ,358,6.1,0.9,77.6,0.5,1,89,5,23,0.8,1.4,0,0.08,0.02,0.12,0,12,0,0
こめ ［水稲穀粒］ 精白米 もち米 ,359,6.4,1.2,77.2,0.5,0,97,5,33,0.2,1.5,0,0.12,0.02,0.12,0,12,0,0
こめ ［水稲穀粒］ 精白米 インディカ米 ,369,7.5,0.8,79.1,0.4,1,69,5,19,0.6,1.5,0,0.06,0.02,0.08,0,16,0,0
こめ ［水稲穀粒］ はいが精米 ,357,6.5,2.0,75.8,1.3,1,150,7,51,0.9,1.6,0,0.23,0.03,0.22,0,18,0,0
こめ ［水稲穀粒］ 発芽玄米 ,356,6.5,3.3,74.3,3.1,3,160,13,120,1.0,1.9,0,0.35,0.02,0.34,0,18,0,0
こめ ［水稲めし］ 玄米 ,165,2.8,1.0,35.6,1.4,1,95,7,49,0.6,0.8,0,0.16,0.02,0.21,0,10,0,0
こめ ［水稲めし］ 半つき米 ,167,2.7,0.6,36.4,0.8,1,43,4,22,0.2,0.7,0,0.08,0.01,0.07,0,6,0,0
こめ ［水稲めし］ 七分つき米 ,168,2.6,0.5,36.7,0.5,1,35,4,13,0.2,0.7,0,0.06,0.01,0.03,0,5,0,0
こめ ［水稲めし］ 精白米 うるち米 ,168,2.5,0.3,37.1,0.3,1,29,3,7,0.1,0.6,0,0.02,0.01,0.02,0,3,0,0
こめ ［水稲めし］ 精白米 もち米 ,202,3.5,0.5,43.9,0.4,0,28,2,5,0.1,0.8,0,0.03,0.01,0.02,0,4,0,0
こめ ［水稲めし］ はいが精米 ,167,2.7,0.6,36.4,0.8,1,51,5,24,0.2,0.7,0,0.08,0.01,0.09,0,6,0,0
こめ ［水稲めし］ 発芽玄米 ,167,3.0,1.4,35.0,1.8,1,68,6,53,0.4,0.9,0,0.13,0.01,0.13,0,6,0,0
こめ ［水稲全かゆ］ 玄米 ,70,1.2,0.4,15.2,0.6,1,41,3,21,0.2,0.3,0,0.07,0.01,0.09,0,4,0,0
こめ ［水稲全かゆ］ 半つき米 ,71,1.1,0.3,15.5,0.3,0,18,2,9,0.1,0.3,0,0.03,0,0.03,0,2,0,0
こめ ［水稲全かゆ］ 七分つき米 ,71,1.1,0.2,15.6,0.2,0,15,2,6,0.1,0.3,0,0.03,0,0.01,0,2,0,0
こめ ［水稲全かゆ］ 精白米 ,71,1.1,0.1,15.7,0.1,0,12,1,3,0,0.3,0,0.01,0,0.01,0,1,0,0
こめ ［水稲五分かゆ］ 玄米 ,35,0.6,0.2,7.6,0.3,0,20,1,10,0.1,0.2,0,0.03,0,0.05,0,2,0,0
こめ ［水稲五分かゆ］ 半つき米 ,35,0.6,0.1,7.7,0.1,0,9,1,5,0,0.2,0,0.02,0,0.01,0,1,0,0
こめ ［水稲五分かゆ］ 七分つき米 ,35,0.6,0.1,7.7,0.1,0,8,1,3,0,0.1,0,0.01,0,0.01,0,1,0,0
こめ ［水稲五分かゆ］ 精白米 ,36,0.5,0.1,7.9,0.1,0,6,1,1,0,0.1,0,0,0,0,0,1,0,0
こめ ［水稲おもゆ］ 玄米 ,20,0.4,0.1,4.4,0.2,0,12,1,6,0.1,0.1,0,0.02,0,0.03,0,1,0,0
こめ ［水稲おもゆ］ 半つき米 ,21,0.3,0.1,4.6,0.1,0,5,1,3,0,0.1,0,0.01,0,0.01,0,1,0,0
こめ ［水稲おもゆ］ 七分つき米 ,21,0.3,0.1,4.6,0,0,4,1,2,0,0.1,0,0.01,0,0,0,1,0,0
こめ ［水稲おもゆ］ 精白米 ,21,0.3,0,4.7,0,0,4,0,1,0,0.1,0,0,0,0,0,0,0,0
こめ ［陸稲穀粒］ 玄米 ,351,10.1,2.7,71.1,3.0,1,230,9,110,2.1,1.8,0,0.41,0.04,0.45,0,27,0,0
こめ ［陸稲穀粒］ 半つき米 ,355,9.6,1.8,72.9,1.4,1,150,7,64,1.5,1.6,0,0.30,0.03,0.28,0,18,0,0
こめ ［陸稲穀粒］ 七分つき米 ,358,9.5,1.5,73.4,0.9,1,120,6,45,1.3,1.5,0,0.24,0.03,0.20,0,15,0,0
こめ ［陸稲穀粒］ 精白米 ,357,9.3,0.9,74.5,0.5,1,89,5,23,0.8,1.4,0,0.08,0.02,0.12,0,12,0,0
こめ ［陸稲めし］ 玄米 ,164,4.1,1.0,34.3,1.4,1,95,7,49,0.6,0.8,0,0.16,0.02,0.21,0,10,0,0
こめ ［陸稲めし］ 半つき米 ,166,3.8,0.6,35.3,0.8,1,43,4,22,0.2,0.7,0,0.08,0.01,0.07,0,6,0,0
こめ ［陸稲めし］ 七分つき米 ,168,3.6,0.5,35.7,0.5,1,35,4,13,0.2,0.7,0,0.06,0.01,0.03,0,5,0,0
こめ ［陸稲めし］ 精白米 ,168,3.5,0.3,36.1,0.3,1,29,3,7,0.1,0.6,0,0.02,0.01,0.02,0,3,0,0
こめ ［うるち米製品］ アルファ化米 一般用 ,388,6.0,1.0,84.8,1.2,5,37,7,14,0.1,1.6,0,0.04,0,0.04,0,7,0,0
こめ ［うるち米製品］ アルファ化米 学校給食用強化品 ,388,6.0,1.0,84.8,1.2,5,37,7,14,0.1,1.6,0,0.41,0,0.04,0,7,0,0
こめ ［うるち米製品］ おにぎり ,179,2.7,0.3,39.4,0.4,200,31,3,7,0.1,0.6,0,0.02,0.01,0.02,0,3,0,0.5
こめ ［うるち米製品］ 焼きおにぎり ,181,3.1,0.3,39.5,0.4,380,56,5,11,0.2,0.7,0,0.03,0.02,0.03,0,5,0,1.0
こめ ［うるち米製品］ きりたんぽ ,210,3.2,0.4,46.2,0.4,1,36,4,9,0.1,0.7,0,0.03,0.01,0.02,0,4,0,0
こめ ［うるち米製品］ 上新粉 ,362,6.2,0.9,78.5,0.6,2,89,5,23,0.8,1.0,0,0.09,0.02,0.12,0,12,0,0
こめ ［うるち米製品］ 玄米粉 ,395,7.1,2.9,84.1,3.5,3,230,12,110,1.4,2.4,0,0,0.03,0.08,0,9,0,0
